"E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr"
"171.2","2056","171.4","4065","163.4","6362","170.9","8399","170.97","10379","171.2","2075","171.4","4147","163.4","6457","170.9","8141","170.97","10232","171.2","2076","171.4","4029","163.4","6296","170.9","7901","170.97","9892","171.2","2894","171.4","5582","163.4","8329","170.9","11493","170.97","14047","171.2","2131","171.4","4308","163.4","6638","170.9","8495","170.97","10550"
"183.3","2148","183.5","4243","175","6540","183","8503","183.06","10611","183.3","2117","183.5","4172","175","6640","183","8672","183.06","10782","183.3","2053","183.5","4201","175","6525","183","8366","183.06","10494","183.3","2927","183.5","6040","175","8680","183","11912","183.06","14748","183.3","2173","183.5","4404","175","6785","183","8672","183.06","10855"
"195.4","2174","195.6","4389","186.6","6915","195.1","8804","195.14","10926","195.4","2180","195.6","4293","186.6","6878","195.1","8660","195.14","10688","195.4","2087","195.6","4249","186.6","6511","195.1","8628","195.14","10705","195.4","3193","195.6","6345","186.6","9299","195.1","12503","195.14","15516","195.4","2240","195.6","4500","186.6","6853","195.1","8863","195.14","11114"
"207.5","2295","207.7","4474","198.2","7012","207.1","9055","207.23","11271","207.5","2213","207.7","4533","198.2","6976","207.1","8949","207.23","11131","207.5","2161","207.7","4209","198.2","6873","207.1","8764","207.23","11102","207.5","3248","207.7","6422","198.2","9504","207.1","12727","207.23","15918","207.5","2235","207.7","4584","198.2","7106","207.1","9080","207.23","11299"
"219.6","2230","219.8","4368","209.8","7141","219.2","8961","219.32","11368","219.6","2268","219.8","4367","209.8","7001","219.2","9092","219.32","10913","219.6","2125","219.8","4295","209.8","6879","219.2","8658","219.32","10934","219.6","3171","219.8","6356","209.8","9743","219.2","12520","219.32","15679","219.6","2182","219.8","4610","209.8","7306","219.2","9013","219.32","11190"
"231.7","2145","231.9","4277","221.5","6982","231.3","8676","231.4","10881","231.7","2111","231.9","4256","221.5","6913","231.3","8358","231.4","10640","231.7","2051","231.9","4214","221.5","6820","231.3","8460","231.4","10400","231.7","2984","231.9","6038","221.5","9313","231.3","12030","231.4","15288","231.7","2158","231.9","4362","221.5","7073","231.3","8769","231.4","10865"
"243.9","2048","244","4173","233.1","6726","243.4","8229","243.49","10213","243.9","2009","244","4171","233.1","6523","243.4","8060","243.49","10038","243.9","1946","244","3894","233.1","6365","243.4","7986","243.49","10016","243.9","2963","244","5667","233.1","8852","243.4","11531","243.49","14522","243.9","1995","244","4098","233.1","6787","243.4","8265","243.49","10403"
"256","1924","256.1","3934","244.7","6359","255.5","7901","255.57","9942","256","1964","256.1","3896","244.7","6411","255.5","7718","255.57","9712","256","1854","256.1","3857","244.7","6183","255.5","7728","255.57","9364","256","2810","256.1","5706","244.7","8762","255.5","11346","255.57","13789","256","1934","256.1","3927","244.7","6541","255.5","7937","255.57","9859"
"268.1","1857","268.2","3761","256.3","6113","267.6","7584","267.66","9509","268.1","1881","268.2","3692","256.3","5965","267.6","7477","267.66","9281","268.1","1818","268.2","3573","256.3","5825","267.6","7382","267.66","9041","268.1","2705","268.2","5414","256.3","8230","267.6","10897","267.66","13636","268.1","1925","268.2","3798","256.3","6297","267.6","7566","267.66","9713"
"280.2","1717","280.3","3764","267.9","5728","279.7","7217","279.75","8988","280.2","1732","280.3","3594","267.9","5672","279.7","7310","279.75","8894","280.2","1731","280.3","3550","267.9","5587","279.7","6982","279.75","8783","280.2","2710","280.3","5180","267.9","8188","279.7","10598","279.75","13402","280.2","1842","280.3","3732","267.9","5903","279.7","7235","279.75","9107"
"292.3","1711","292.4","3505","279.5","5462","291.8","7067","291.83","8806","292.3","1776","292.4","3436","279.5","5323","291.8","6987","291.83","8639","292.3","1636","292.4","3285","279.5","5310","291.8","6611","291.83","8413","292.3","2571","292.4","5045","279.5","7521","291.8","10163","291.83","12604","292.3","1792","292.4","3553","279.5","5554","291.8","7069","291.83","8905"
"304.4","1670","304.6","3351","291.1","5408","303.8","6723","303.92","8320","304.4","1628","304.6","3270","291.1","5100","303.8","6752","303.92","8265","304.4","1561","304.6","3216","291.1","5049","303.8","6544","303.92","8013","304.4","2470","304.6","4884","291.1","7486","303.8","9961","303.92","12591","304.4","1626","304.6","3277","291.1","5172","303.8","6735","303.92","8442"
