"E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr"
"873.6","57","873.5","150","837","224","872","253","871.95","291","873.6","10","873.5","15","837","68","872","46","871.95","47","873.6","4","873.5","2","837","64","872","11","871.95","14","873.6","8","873.5","15","837","94","872","43","871.95","38","873.6","34","873.5","77","837","162","872","133","871.95","162"
"885.7","53","885.6","118","848.7","184","884.1","241","884.04","296","885.7","4","885.6","10","848.7","52","884.1","35","884.04","42","885.7","2","885.6","7","848.7","32","884.1","12","884.04","27","885.7","8","885.6","15","848.7","41","884.1","31","884.04","36","885.7","38","885.6","82","848.7","118","884.1","127","884.04","190"
"897.8","58","897.7","123","860.3","194","896.2","213","896.13","292","897.8","8","897.7","23","860.3","36","896.2","29","896.13","48","897.8","4","897.7","2","860.3","21","896.2","13","896.13","22","897.8","7","897.7","10","860.3","30","896.2","24","896.13","35","897.8","28","897.7","66","860.3","110","896.2","140","896.13","157"
"909.9","34","909.8","115","871.9","163","908.3","233","908.21","291","909.9","13","909.8","12","871.9","28","908.3","35","908.21","33","909.9","7","909.8","6","871.9","17","908.3","17","908.21","20","909.9","4","909.8","13","871.9","28","908.3","34","908.21","34","909.9","30","909.8","54","871.9","107","908.3","145","908.21","169"
"922","71","921.9","132","883.5","185","920.4","216","920.3","250","922","7","921.9","11","883.5","29","920.4","38","920.3","37","922","2","921.9","8","883.5","15","920.4","9","920.3","22","922","7","921.9","16","883.5","29","920.4","23","920.3","33","922","38","921.9","62","883.5","97","920.4","139","920.3","171"
"934.1","40","934","118","895.1","172","932.4","210","932.38","266","934.1","5","934","16","895.1","29","932.4","28","932.38","48","934.1","3","934","7","895.1","15","932.4","19","932.38","14","934.1","8","934","7","895.1","12","932.4","24","932.38","36","934.1","55","934","72","895.1","102","932.4","131","932.38","143"
"946.3","42","946.1","95","906.7","149","944.5","208","944.47","289","946.3","10","946.1","15","906.7","28","944.5","37","944.47","41","946.3","5","946.1","6","906.7","14","944.5","11","944.47","12","946.3","6","946.1","23","906.7","30","944.5","22","944.47","27","946.3","33","946.1","66","906.7","120","944.5","135","944.47","151"
"958.4","53","958.2","96","918.4","137","956.6","183","956.56","242","958.4","11","958.2","17","918.4","28","956.6","45","956.56","38","958.4","2","958.2","8","918.4","11","956.6","18","956.56","14","958.4","6","958.2","15","918.4","21","956.6","24","956.56","33","958.4","29","958.2","74","918.4","89","956.6","126","956.56","133"
"970.5","49","970.3","83","930","152","968.7","188","968.64","203","970.5","13","970.3","20","930","30","968.7","25","968.64","36","970.5","2","970.3","7","930","10","968.7","7","968.64","15","970.5","3","970.3","5","930","20","968.7","18","968.64","29","970.5","33","970.3","56","930","100","968.7","125","968.64","145"
"982.6","48","982.5","82","941.6","134","980.8","208","980.73","230","982.6","2","982.5","12","941.6","30","980.8","30","980.73","42","982.6","3","982.5","6","941.6","13","980.8","20","980.73","10","982.6","5","982.5","10","941.6","23","980.8","21","980.73","23","982.6","23","982.5","71","941.6","91","980.8","136","980.73","141"
"994.7","50","994.6","93","953.2","130","992.9","144","992.81","213","994.7","11","994.6","11","953.2","37","992.9","19","992.81","31","994.7","1","994.6","6","953.2","20","992.9","11","992.81","14","994.7","8","994.6","13","953.2","21","992.9","22","992.81","43","994.7","22","994.6","59","953.2","78","992.9","112","992.81","141"
"1006.8","33","1006.7","70","964.8","141","1005","156","1004.9","223","1006.8","13","1006.7","12","964.8","25","1005","38","1004.9","33","1006.8","1","1006.7","6","964.8","15","1005","12","1004.9","14","1006.8","4","1006.7","11","964.8","22","1005","23","1004.9","18","1006.8","19","1006.7","55","964.8","85","1005","134","1004.9","146"
"1018.9","45","1018.8","82","976.4","111","1017.1","159","1016.99","206","1018.9","5","1018.8","17","976.4","23","1017.1","27","1016.99","40","1018.9","4","1018.8","3","976.4","16","1017.1","9","1016.99","17","1018.9","2","1018.8","11","976.4","22","1017.1","17","1016.99","9","1018.9","30","1018.8","39","976.4","81","1017.1","127","1016.99","141"
"1031","30","1030.9","64","988","128","1029.1","146","1029.07","168","1031","8","1030.9","14","988","37","1029.1","35","1029.07","35","1031","1","1030.9","8","988","13","1029.1","9","1029.07","16","1031","8","1030.9","9","988","13","1029.1","21","1029.07","14","1031","27","1030.9","64","988","80","1029.1","104","1029.07","136"
"1043.1","45","1043","70","999.7","108","1041.2","140","1041.16","186","1043.1","14","1043","12","999.7","29","1041.2","25","1041.16","24","1043.1","4","1043","4","999.7","13","1041.2","12","1041.16","12","1043.1","2","1043","11","999.7","21","1041.2","25","1041.16","15","1043.1","24","1043","48","999.7","88","1041.2","115","1041.16","127"
"1055.2","39","1055.1","72","1011.3","113","1053.3","156","1053.24","200","1055.2","4","1055.1","9","1011.3","21","1053.3","25","1053.24","26","1055.2","0","1055.1","3","1011.3","8","1053.3","18","1053.24","20","1055.2","10","1055.1","10","1011.3","22","1053.3","16","1053.24","19","1055.2","24","1055.1","44","1011.3","86","1053.3","94","1053.24","112"
"1067.4","41","1067.2","58","1022.9","117","1065.4","177","1065.33","166","1067.4","9","1067.2","15","1022.9","16","1065.4","21","1065.33","29","1067.4","2","1067.2","4","1022.9","15","1065.4","9","1065.33","16","1067.4","10","1067.2","8","1022.9","17","1065.4","22","1065.33","12","1067.4","30","1067.2","55","1022.9","87","1065.4","85","1065.33","97"
"1079.5","37","1079.3","83","1034.5","125","1077.5","171","1077.42","188","1079.5","10","1079.3","9","1034.5","19","1077.5","16","1077.42","25","1079.5","1","1079.3","2","1034.5","10","1077.5","7","1077.42","16","1079.5","3","1079.3","2","1034.5","20","1077.5","16","1077.42","23","1079.5","21","1079.3","42","1034.5","71","1077.5","114","1077.42","108"
"1091.6","44","1091.4","84","1046.1","105","1089.6","208","1089.5","218","1091.6","1","1091.4","6","1046.1","13","1089.6","13","1089.5","23","1091.6","0","1091.4","2","1046.1","5","1089.6","16","1089.5","9","1091.6","5","1091.4","7","1046.1","20","1089.6","17","1089.5","13","1091.6","18","1091.4","39","1046.1","76","1089.6","83","1089.5","106"
"1103.7","42","1103.5","98","1057.7","96","1101.7","182","1101.59","250","1103.7","3","1103.5","7","1057.7","10","1101.7","9","1101.59","19","1103.7","2","1103.5","5","1057.7","15","1101.7","7","1101.59","16","1103.7","3","1103.5","5","1057.7","14","1101.7","11","1101.59","8","1103.7","26","1103.5","47","1057.7","66","1101.7","96","1101.59","107"
"1115.8","57","1115.6","115","1069.3","105","1113.8","234","1113.67","262","1115.8","2","1115.6","12","1069.3","20","1113.8","17","1113.67","16","1115.8","3","1115.6","8","1069.3","15","1113.8","13","1113.67","10","1115.8","6","1115.6","7","1069.3","19","1113.8","13","1113.67","9","1115.8","22","1115.6","48","1069.3","66","1113.8","94","1113.67","87"
"1127.9","53","1127.7","120","1081","111","1125.9","241","1125.76","340","1127.9","5","1127.7","5","1081","12","1125.9","14","1125.76","16","1127.9","2","1127.7","5","1081","9","1125.9","8","1125.76","19","1127.9","3","1127.7","12","1081","11","1125.9","16","1125.76","15","1127.9","18","1127.7","41","1081","61","1125.9","82","1125.76","88"
"1140","58","1139.8","130","1092.6","126","1137.9","292","1137.84","311","1140","5","1139.8","8","1092.6","12","1137.9","14","1137.84","21","1140","2","1139.8","6","1092.6","9","1137.9","8","1137.84","8","1140","1","1139.8","5","1092.6","14","1137.9","11","1137.84","15","1140","23","1139.8","45","1092.6","69","1137.9","61","1137.84","85"
"1152.1","49","1151.9","110","1104.2","161","1150","251","1149.93","323","1152.1","5","1151.9","7","1104.2","12","1150","18","1149.93","17","1152.1","4","1151.9","4","1104.2","11","1150","11","1149.93","10","1152.1","2","1151.9","7","1104.2","17","1150","13","1149.93","15","1152.1","16","1151.9","40","1104.2","65","1150","67","1149.93","85"
"1164.2","79","1164","129","1115.8","165","1162.1","256","1162.02","283","1164.2","6","1164","8","1115.8","14","1162.1","16","1162.02","29","1164.2","2","1164","8","1115.8","5","1162.1","9","1162.02","9","1164.2","5","1164","8","1115.8","12","1162.1","16","1162.02","20","1164.2","18","1164","26","1115.8","69","1162.1","73","1162.02","85"
"1176.3","59","1176.1","96","1127.4","195","1174.2","217","1174.1","242","1176.3","8","1176.1","8","1127.4","9","1174.2","19","1174.1","16","1176.3","3","1176.1","2","1127.4","14","1174.2","10","1174.1","13","1176.3","4","1176.1","7","1127.4","9","1174.2","15","1174.1","11","1176.3","13","1176.1","30","1127.4","58","1174.2","63","1174.1","80"
"1188.5","44","1188.2","88","1139","200","1186.3","192","1186.19","242","1188.5","3","1188.2","13","1139","13","1186.3","23","1186.19","28","1188.5","2","1188.2","4","1139","6","1186.3","13","1186.19","11","1188.5","4","1188.2","3","1139","17","1186.3","10","1186.19","7","1188.5","18","1188.2","27","1139","51","1186.3","65","1186.19","69"
"1200.6","39","1200.3","82","1150.7","187","1198.4","193","1198.27","237","1200.6","6","1200.3","16","1150.7","22","1198.4","17","1198.27","27","1200.6","1","1200.3","4","1150.7","9","1198.4","5","1198.27","13","1200.6","1","1200.3","2","1150.7","13","1198.4","14","1198.27","12","1200.6","15","1200.3","30","1150.7","47","1198.4","61","1198.27","71"
"1212.7","32","1212.5","67","1162.3","146","1210.5","132","1210.36","190","1212.7","5","1212.5","14","1162.3","25","1210.5","30","1210.36","39","1212.7","4","1212.5","1","1162.3","9","1210.5","10","1210.36","9","1212.7","0","1212.5","5","1162.3","11","1210.5","6","1210.36","11","1212.7","14","1212.5","31","1162.3","57","1210.5","72","1210.36","62"
"1224.8","25","1224.6","74","1173.9","172","1222.6","133","1222.45","161","1224.8","8","1224.6","18","1173.9","19","1222.6","34","1222.45","31","1224.8","1","1224.6","3","1173.9","11","1222.6","3","1222.45","11","1224.8","1","1224.6","8","1173.9","12","1222.6","7","1222.45","21","1224.8","11","1224.6","23","1173.9","41","1222.6","44","1222.45","73"
"1236.9","44","1236.7","78","1185.5","148","1234.6","146","1234.53","180","1236.9","14","1236.7","11","1185.5","25","1234.6","39","1234.53","42","1236.9","1","1236.7","2","1185.5","9","1234.6","12","1234.53","9","1236.9","4","1236.7","4","1185.5","10","1234.6","7","1234.53","10","1236.9","4","1236.7","34","1185.5","47","1234.6","41","1234.53","62"
"1249","36","1248.8","92","1197.1","131","1246.7","165","1246.62","175","1249","14","1248.8","16","1197.1","24","1246.7","37","1246.62","44","1249","0","1248.8","1","1197.1","5","1246.7","3","1246.62","5","1249","1","1248.8","4","1197.1","9","1246.7","8","1246.62","15","1249","11","1248.8","25","1197.1","34","1246.7","56","1246.62","59"
"1261.1","43","1260.9","92","1208.7","121","1258.8","174","1258.7","180","1261.1","12","1260.9","24","1208.7","24","1258.8","39","1258.7","47","1261.1","1","1260.9","3","1208.7","15","1258.8","6","1258.7","8","1261.1","6","1260.9","5","1208.7","15","1258.8","13","1258.7","14","1261.1","8","1260.9","27","1208.7","57","1258.8","51","1258.7","67"
"1273.2","51","1273","81","1220.3","107","1270.9","177","1270.79","204","1273.2","8","1273","13","1220.3","31","1270.9","36","1270.79","34","1273.2","2","1273","3","1220.3","8","1270.9","5","1270.79","8","1273.2","0","1273","11","1220.3","11","1270.9","11","1270.79","8","1273.2","12","1273","16","1220.3","46","1270.9","52","1270.79","62"
"1285.3","49","1285.1","106","1232","102","1283","203","1282.88","247","1285.3","8","1285.1","13","1232","33","1283","36","1282.88","37","1285.3","0","1285.1","2","1232","9","1283","8","1282.88","3","1285.3","3","1285.1","3","1232","8","1283","6","1282.88","9","1285.3","14","1285.1","21","1232","44","1283","50","1282.88","38"
"1297.4","47","1297.2","99","1243.6","120","1295.1","212","1294.96","223","1297.4","6","1297.2","8","1243.6","27","1295.1","20","1294.96","25","1297.4","2","1297.2","5","1243.6","9","1295.1","10","1294.96","3","1297.4","1","1297.2","1","1243.6","8","1295.1","7","1294.96","1","1297.4","8","1297.2","22","1243.6","37","1295.1","39","1294.96","44"
"1309.6","46","1309.3","106","1255.2","108","1307.2","223","1307.05","245","1309.6","6","1309.3","11","1255.2","25","1307.2","20","1307.05","29","1309.6","1","1309.3","2","1255.2","5","1307.2","6","1307.05","8","1309.6","2","1309.3","6","1255.2","14","1307.2","13","1307.05","9","1309.6","11","1309.3","21","1255.2","47","1307.2","39","1307.05","48"
"1321.7","50","1321.4","81","1266.8","118","1319.3","179","1319.13","231","1321.7","2","1321.4","11","1266.8","25","1319.3","26","1319.13","36","1321.7","2","1321.4","8","1266.8","10","1319.3","6","1319.13","4","1321.7","2","1321.4","4","1266.8","8","1319.3","7","1319.13","10","1321.7","12","1321.4","22","1266.8","37","1319.3","25","1319.13","44"
"1333.8","38","1333.5","83","1278.4","145","1331.4","178","1331.22","201","1333.8","6","1333.5","8","1278.4","17","1331.4","19","1331.22","17","1333.8","2","1333.5","3","1278.4","5","1331.4","8","1331.22","6","1333.8","2","1333.5","3","1278.4","7","1331.4","4","1331.22","13","1333.8","8","1333.5","15","1278.4","30","1331.4","33","1331.22","49"
"1345.9","31","1345.6","62","1290","138","1343.4","123","1343.31","158","1345.9","3","1345.6","9","1290","22","1343.4","17","1343.31","18","1345.9","2","1345.6","3","1290","10","1343.4","8","1343.31","9","1345.9","4","1345.6","0","1290","9","1343.4","9","1343.31","12","1345.9","6","1345.6","9","1290","26","1343.4","34","1343.31","40"
"1358","22","1357.7","57","1301.6","137","1355.5","115","1355.39","151","1358","1","1357.7","4","1301.6","20","1355.5","12","1355.39","16","1358","1","1357.7","2","1301.6","4","1355.5","5","1355.39","7","1358","4","1357.7","1","1301.6","10","1355.5","7","1355.39","4","1358","5","1357.7","19","1301.6","37","1355.5","25","1355.39","31"
"1370.1","18","1369.8","40","1313.3","132","1367.6","93","1367.48","120","1370.1","3","1369.8","5","1313.3","20","1367.6","14","1367.48","12","1370.1","2","1369.8","2","1313.3","5","1367.6","7","1367.48","8","1370.1","5","1369.8","4","1313.3","9","1367.6","7","1367.48","9","1370.1","11","1369.8","14","1313.3","33","1367.6","30","1367.48","33"
"1382.2","18","1381.9","49","1324.9","116","1379.7","77","1379.56","124","1382.2","4","1381.9","3","1324.9","17","1379.7","9","1379.56","14","1382.2","1","1381.9","3","1324.9","4","1379.7","9","1379.56","3","1382.2","1","1381.9","5","1324.9","8","1379.7","3","1379.56","13","1382.2","5","1381.9","11","1324.9","28","1379.7","22","1379.56","28"
"1394.3","16","1394","25","1336.5","107","1391.8","80","1391.65","92","1394.3","3","1394","3","1336.5","10","1391.8","12","1391.65","14","1394.3","2","1394","0","1336.5","6","1391.8","5","1391.65","5","1394.3","0","1394","2","1336.5","6","1391.8","5","1391.65","4","1394.3","3","1394","15","1336.5","29","1391.8","27","1391.65","32"
"1406.4","13","1406.1","26","1348.1","100","1403.9","51","1403.73","80","1406.4","1","1406.1","4","1348.1","11","1403.9","10","1403.73","8","1406.4","0","1406.1","4","1348.1","6","1403.9","5","1403.73","11","1406.4","3","1406.1","3","1348.1","8","1403.9","7","1403.73","8","1406.4","5","1406.1","17","1348.1","13","1403.9","24","1403.73","32"
"1418.5","12","1418.2","25","1359.7","89","1416","40","1415.82","59","1418.5","3","1418.2","3","1359.7","10","1416","5","1415.82","8","1418.5","1","1418.2","4","1359.7","9","1416","6","1415.82","6","1418.5","0","1418.2","3","1359.7","13","1416","9","1415.82","12","1418.5","5","1418.2","14","1359.7","15","1416","20","1415.82","28"
"1430.7","9","1430.3","16","1371.3","64","1428.1","40","1427.91","43","1430.7","1","1430.3","2","1371.3","8","1428.1","2","1427.91","8","1430.7","1","1430.3","5","1371.3","6","1428.1","4","1427.91","10","1430.7","0","1430.3","0","1371.3","9","1428.1","8","1427.91","5","1430.7","5","1430.3","14","1371.3","18","1428.1","24","1427.91","21"
"1442.8","7","1442.5","11","1382.9","54","1440.1","33","1439.99","50","1442.8","2","1442.5","1","1382.9","9","1440.1","7","1439.99","4","1442.8","0","1442.5","0","1382.9","4","1440.1","4","1439.99","4","1442.8","0","1442.5","1","1382.9","4","1440.1","5","1439.99","9","1442.8","4","1442.5","15","1382.9","16","1440.1","13","1439.99","26"
"1454.9","15","1454.6","13","1394.6","44","1452.2","27","1452.08","26","1454.9","2","1454.6","2","1394.6","9","1452.2","15","1452.08","10","1454.9","2","1454.6","0","1394.6","5","1452.2","3","1452.08","6","1454.9","1","1454.6","0","1394.6","6","1452.2","3","1452.08","2","1454.9","4","1454.6","8","1394.6","15","1452.2","14","1452.08","14"
"1467","7","1466.7","11","1406.2","50","1464.3","31","1464.16","31","1467","1","1466.7","6","1406.2","12","1464.3","3","1464.16","7","1467","0","1466.7","4","1406.2","8","1464.3","2","1464.16","6","1467","1","1466.7","3","1406.2","7","1464.3","9","1464.16","4","1467","4","1466.7","6","1406.2","23","1464.3","14","1464.16","27"
"1479.1","6","1478.8","14","1417.8","35","1476.4","19","1476.25","20","1479.1","1","1478.8","5","1417.8","6","1476.4","5","1476.25","8","1479.1","1","1478.8","1","1417.8","6","1476.4","6","1476.25","10","1479.1","0","1478.8","1","1417.8","4","1476.4","5","1476.25","7","1479.1","3","1478.8","5","1417.8","13","1476.4","13","1476.25","26"
"1491.2","4","1490.9","7","1429.4","30","1488.5","24","1488.34","27","1491.2","3","1490.9","0","1429.4","10","1488.5","4","1488.34","10","1491.2","1","1490.9","1","1429.4","5","1488.5","10","1488.34","7","1491.2","1","1490.9","2","1429.4","5","1488.5","3","1488.34","4","1491.2","3","1490.9","4","1429.4","9","1488.5","13","1488.34","19"
"1503.3","6","1503","7","1441","27","1500.6","23","1500.42","29","1503.3","0","1503","3","1441","8","1500.6","2","1500.42","3","1503.3","1","1503","2","1441","3","1500.6","10","1500.42","7","1503.3","1","1503","3","1441","9","1500.6","5","1500.42","4","1503.3","3","1503","6","1441","15","1500.6","9","1500.42","12"
"1515.4","8","1515.1","4","1452.6","22","1512.7","22","1512.51","41","1515.4","0","1515.1","1","1452.6","10","1512.7","3","1512.51","3","1515.4","1","1515.1","1","1452.6","3","1512.7","5","1512.51","3","1515.4","1","1515.1","1","1452.6","6","1512.7","0","1512.51","5","1515.4","3","1515.1","8","1452.6","11","1512.7","8","1512.51","21"
"1527.5","6","1527.2","8","1464.3","22","1524.8","13","1524.59","23","1527.5","0","1527.2","6","1464.3","4","1524.8","5","1524.59","10","1527.5","1","1527.2","4","1464.3","4","1524.8","3","1524.59","6","1527.5","0","1527.2","0","1464.3","4","1524.8","3","1524.59","5","1527.5","1","1527.2","5","1464.3","17","1524.8","5","1524.59","15"
"1539.7","2","1539.3","5","1475.9","12","1536.9","12","1536.68","15","1539.7","1","1539.3","0","1475.9","5","1536.9","3","1536.68","3","1539.7","1","1539.3","1","1475.9","3","1536.9","2","1536.68","4","1539.7","0","1539.3","0","1475.9","3","1536.9","1","1536.68","4","1539.7","1","1539.3","5","1475.9","6","1536.9","11","1536.68","16"
"1551.8","3","1551.4","2","1487.5","17","1548.9","10","1548.77","11","1551.8","0","1551.4","2","1487.5","5","1548.9","2","1548.77","3","1551.8","0","1551.4","1","1487.5","8","1548.9","3","1548.77","7","1551.8","1","1551.4","2","1487.5","4","1548.9","4","1548.77","3","1551.8","0","1551.4","4","1487.5","8","1548.9","8","1548.77","7"
"1563.9","0","1563.5","2","1499.1","26","1561","7","1560.85","8","1563.9","3","1563.5","1","1499.1","3","1561","3","1560.85","4","1563.9","0","1563.5","1","1499.1","4","1561","2","1560.85","5","1563.9","0","1563.5","3","1499.1","5","1561","3","1560.85","1","1563.9","2","1563.5","5","1499.1","13","1561","7","1560.85","6"
"1576","0","1575.6","7","1510.7","7","1573.1","6","1572.94","12","1576","1","1575.6","1","1510.7","2","1573.1","3","1572.94","4","1576","0","1575.6","1","1510.7","4","1573.1","4","1572.94","3","1576","0","1575.6","1","1510.7","5","1573.1","2","1572.94","5","1576","0","1575.6","3","1510.7","6","1573.1","4","1572.94","12"
"1588.1","1","1587.7","3","1522.3","16","1585.2","4","1585.02","5","1588.1","0","1587.7","0","1522.3","7","1585.2","3","1585.02","5","1588.1","1","1587.7","1","1522.3","8","1585.2","5","1585.02","8","1588.1","1","1587.7","0","1522.3","1","1585.2","3","1585.02","1","1588.1","1","1587.7","2","1522.3","6","1585.2","5","1585.02","6"
"1600.2","0","1599.8","0","1533.9","9","1597.3","4","1597.11","5","1600.2","0","1599.8","0","1533.9","4","1597.3","1","1597.11","2","1600.2","0","1599.8","1","1533.9","4","1597.3","4","1597.11","4","1600.2","0","1599.8","2","1533.9","0","1597.3","1","1597.11","2","1600.2","1","1599.8","3","1533.9","10","1597.3","6","1597.11","3"
"1612.3","1","1611.9","2","1545.6","0","1609.4","3","1609.2","6","1612.3","1","1611.9","3","1545.6","2","1609.4","2","1609.2","1","1612.3","0","1611.9","1","1545.6","2","1609.4","1","1609.2","3","1612.3","0","1611.9","1","1545.6","2","1609.4","5","1609.2","1","1612.3","0","1611.9","5","1545.6","3","1609.4","3","1609.2","8"
"1624.4","0","1624","0","1557.2","3","1621.5","5","1621.28","4","1624.4","1","1624","3","1557.2","2","1621.5","1","1621.28","2","1624.4","1","1624","2","1557.2","3","1621.5","4","1621.28","3","1624.4","0","1624","1","1557.2","4","1621.5","2","1621.28","0","1624.4","2","1624","4","1557.2","4","1621.5","4","1621.28","4"
"1636.5","0","1636.1","2","1568.8","4","1633.6","2","1633.37","2","1636.5","0","1636.1","1","1568.8","3","1633.6","2","1633.37","3","1636.5","0","1636.1","2","1568.8","1","1633.6","2","1633.37","5","1636.5","0","1636.1","1","1568.8","3","1633.6","4","1633.37","3","1636.5","1","1636.1","1","1568.8","5","1633.6","8","1633.37","3"
"1648.6","0","1648.2","0","1580.4","2","1645.7","2","1645.45","3","1648.6","0","1648.2","1","1580.4","1","1645.7","3","1645.45","7","1648.6","1","1648.2","1","1580.4","4","1645.7","3","1645.45","1","1648.6","1","1648.2","0","1580.4","3","1645.7","2","1645.45","7","1648.6","2","1648.2","6","1580.4","4","1645.7","3","1645.45","7"
"1660.8","1","1660.4","2","1592","1","1657.7","0","1657.54","6","1660.8","0","1660.4","0","1592","4","1657.7","1","1657.54","3","1660.8","3","1660.4","0","1592","0","1657.7","1","1657.54","2","1660.8","2","1660.4","1","1592","0","1657.7","2","1657.54","1","1660.8","1","1660.4","1","1592","2","1657.7","2","1657.54","5"
"1672.9","2","1672.5","0","1603.6","2","1669.8","4","1669.62","3","1672.9","1","1672.5","4","1603.6","3","1669.8","2","1669.62","1","1672.9","4","1672.5","1","1603.6","1","1669.8","3","1669.62","2","1672.9","1","1672.5","2","1603.6","1","1669.8","2","1669.62","1","1672.9","1","1672.5","2","1603.6","1","1669.8","4","1669.62","6"
"1685","0","1684.6","2","1615.2","2","1681.9","3","1681.71","2","1685","1","1684.6","1","1615.2","3","1681.9","1","1681.71","7","1685","0","1684.6","0","1615.2","2","1681.9","2","1681.71","3","1685","0","1684.6","2","1615.2","1","1681.9","1","1681.71","3","1685","2","1684.6","3","1615.2","5","1681.9","4","1681.71","5"
"1697.1","0","1696.7","1","1626.9","2","1694","3","1693.8","4","1697.1","1","1696.7","0","1626.9","1","1694","1","1693.8","2","1697.1","1","1696.7","2","1626.9","0","1694","0","1693.8","0","1697.1","1","1696.7","1","1626.9","1","1694","4","1693.8","1","1697.1","1","1696.7","1","1626.9","4","1694","1","1693.8","1"
"1709.2","1","1708.8","1","1638.5","4","1706.1","0","1705.88","2","1709.2","0","1708.8","2","1638.5","3","1706.1","1","1705.88","2","1709.2","0","1708.8","0","1638.5","2","1706.1","1","1705.88","0","1709.2","0","1708.8","0","1638.5","2","1706.1","0","1705.88","2","1709.2","1","1708.8","3","1638.5","1","1706.1","6","1705.88","4"
"1721.3","1","1720.9","0","1650.1","2","1718.2","2","1717.97","2","1721.3","0","1720.9","1","1650.1","1","1718.2","4","1717.97","1","1721.3","1","1720.9","0","1650.1","1","1718.2","2","1717.97","0","1721.3","1","1720.9","0","1650.1","3","1718.2","1","1717.97","3","1721.3","1","1720.9","0","1650.1","2","1718.2","1","1717.97","2"
"1733.4","2","1733","0","1661.7","2","1730.3","0","1730.05","0","1733.4","0","1733","0","1661.7","4","1730.3","0","1730.05","1","1733.4","0","1733","0","1661.7","4","1730.3","4","1730.05","5","1733.4","0","1733","1","1661.7","0","1730.3","1","1730.05","2","1733.4","3","1733","1","1661.7","1","1730.3","1","1730.05","6"
"1745.5","1","1745.1","2","1673.3","3","1742.4","3","1742.14","2","1745.5","0","1745.1","1","1673.3","1","1742.4","2","1742.14","0","1745.5","1","1745.1","0","1673.3","1","1742.4","0","1742.14","5","1745.5","0","1745.1","0","1673.3","1","1742.4","3","1742.14","1","1745.5","0","1745.1","0","1673.3","3","1742.4","2","1742.14","4"
"1757.6","0","1757.2","5","1684.9","1","1754.4","2","1754.23","6","1757.6","0","1757.2","0","1684.9","1","1754.4","0","1754.23","4","1757.6","1","1757.2","1","1684.9","2","1754.4","0","1754.23","2","1757.6","1","1757.2","0","1684.9","1","1754.4","2","1754.23","5","1757.6","0","1757.2","0","1684.9","0","1754.4","2","1754.23","2"
"1769.7","1","1769.3","1","1696.6","3","1766.5","2","1766.31","0","1769.7","1","1769.3","1","1696.6","2","1766.5","2","1766.31","3","1769.7","0","1769.3","1","1696.6","1","1766.5","2","1766.31","0","1769.7","0","1769.3","0","1696.6","1","1766.5","1","1766.31","3","1769.7","0","1769.3","0","1696.6","2","1766.5","1","1766.31","4"
"1781.9","0","1781.4","0","1708.2","1","1778.6","2","1778.4","3","1781.9","0","1781.4","2","1708.2","1","1778.6","1","1778.4","1","1781.9","0","1781.4","1","1708.2","2","1778.6","2","1778.4","1","1781.9","0","1781.4","0","1708.2","3","1778.6","0","1778.4","1","1781.9","2","1781.4","1","1708.2","3","1778.6","2","1778.4","1"
"1794","1","1793.5","1","1719.8","4","1790.7","3","1790.48","5","1794","1","1793.5","1","1719.8","4","1790.7","1","1790.48","2","1794","0","1793.5","0","1719.8","0","1790.7","2","1790.48","2","1794","0","1793.5","2","1719.8","2","1790.7","2","1790.48","4","1794","1","1793.5","0","1719.8","3","1790.7","0","1790.48","5"
"1806.1","1","1805.6","0","1731.4","1","1802.8","4","1802.57","5","1806.1","0","1805.6","0","1731.4","3","1802.8","1","1802.57","2","1806.1","0","1805.6","0","1731.4","2","1802.8","4","1802.57","3","1806.1","0","1805.6","0","1731.4","0","1802.8","1","1802.57","2","1806.1","0","1805.6","1","1731.4","3","1802.8","3","1802.57","1"
"1818.2","0","1817.7","3","1743","1","1814.9","1","1814.66","1","1818.2","0","1817.7","1","1743","1","1814.9","1","1814.66","2","1818.2","0","1817.7","2","1743","0","1814.9","0","1814.66","4","1818.2","0","1817.7","2","1743","3","1814.9","2","1814.66","4","1818.2","0","1817.7","1","1743","1","1814.9","1","1814.66","3"
"1830.3","1","1829.8","1","1754.6","0","1827","4","1826.74","3","1830.3","1","1829.8","2","1754.6","2","1827","2","1826.74","1","1830.3","0","1829.8","0","1754.6","1","1827","2","1826.74","2","1830.3","1","1829.8","3","1754.6","0","1827","1","1826.74","1","1830.3","1","1829.8","2","1754.6","0","1827","2","1826.74","1"
"1842.4","1","1841.9","1","1766.2","2","1839.1","3","1838.83","6","1842.4","1","1841.9","1","1766.2","0","1839.1","0","1838.83","2","1842.4","0","1841.9","2","1766.2","0","1839.1","0","1838.83","1","1842.4","0","1841.9","0","1766.2","1","1839.1","1","1838.83","1","1842.4","0","1841.9","0","1766.2","2","1839.1","0","1838.83","2"
